id,numcrawled,avgCrawlingTime,avgPageSize
6638,0,0,0
6669,0,0,0
5079,74,1.12795,100.563
4256,92,1.38542,160.901
6745,15,0.257278,40.2529
6820,0,0,0
6063,47,0.821643,66.1441
5723,68,0.79069,435.377
6531,17,1.22352,153.96
6830,19,0.224648,24.0781
6898,4,0.374503,18.9298
6953,4,0.145114,39.0783
6291,25,1.60959,43.962
5967,37,1.47897,82.1778
7070,0,0,0
7072,11,0.134189,15.7447
7125,0,0,0
7130,3,0.244832,184.953
7150,0,0,0
5930,59,1.07051,114.82
6905,33,0.536899,66.8048
7211,2,3.90156,8.855
6281,26,2.19224,74.0851
7155,9,1.33266,77.3112
7297,2,2.22371,12.2295
7390,8,0.331474,24.2474
6647,32,1.57334,59.2623
5707,418,0.214812,258.524
7254,12,1.38745,25.6351
7401,7,1.23851,74.5926
7102,33,0.871358,15.5031
6700,59,0.901118,43.6535
7572,0,0,0
7545,7,0.876878,126.621
7187,36,0.806999,36.7914
7435,18,0.922473,5.60144
7663,4,0.787709,19.4342
7720,0,0,0
7415,17,1.48089,72.6875
7579,54,0.236889,58.2224
7528,20,0.903898,63.3539
7806,9,0.463927,28.8566
7752,15,0.582933,32.4875
4749,74,2.41645,78.931
7262,50,0.917638,32.7181
7797,10,0.840103,52.2891
7611,43,0.550209,132.832
7597,18,1.37306,18.9805
7763,35,0.428454,162.441
6825,25,3.01183,76.6522
7468,35,1.2899,28.1682
8019,17,0.535053,40.1455
7921,26,0.719369,86.7195
7796,16,1.8497,79.2849
7936,22,0.985239,64.2748
8348,0,0,0
8188,8,1.2879,46.76
8413,0,0,0
7673,35,1.29921,57.1405
8440,0,0,0
8464,0,0,0
6959,73,1.3817,92.9236
7978,43,0.863885,28.074
8647,0,0,0
8003,87,0.445164,46.9268
8730,7,0.406897,110.925
8079,59,0.755856,30.4068
4484,256,0.962433,475.856
8242,44,0.976961,63.683
8493,82,0.366503,23.0022
8682,17,1.30965,114.031
8903,18,0.611349,19.3639
9101,0,0,0
9110,0,0,0
8481,26,1.40203,58.2544
9127,0,0,0
8478,80,0.474385,39.0128
9139,1,0.795389,32.355
6706,44,3.42954,398.587
9017,16,0.67864,0.37725
9206,0,0,0
8945,10,1.78868,132.623
9176,5,1.00685,73.171
8715,28,1.19418,44.4941
9273,0,0,0
9261,1,0.296325,5.184
9288,0,0,0
9302,0,0,0
7988,148,0.542686,139.609
9330,0,0,0
9254,7,1.64925,72.3924
9294,10,0.858691,22.8475
9389,0,0,0
9399,0,0,0
8036,53,1.69221,65.7678
9457,0,0,0
9484,0,0,0
9521,42,0.132114,16.4039
9426,10,1.42002,83.8636
9318,31,0.932884,50.5265
9526,13,0.866912,46.2153
9441,33,0.5663,27.8884
9243,20,2.02813,128.113
8406,62,1.48469,118.088
9274,34,1.15429,109.289
9764,8,0.341589,23.007
9766,10,0.400958,13.1478
9828,3,0.354133,59.8913
9882,0,0,0
9757,10,0.765466,336.203
9707,13,0.906756,17.5875
9156,12,5.21269,57.8513
9402,20,1.97255,35.1863
9352,30,1.46797,696.018
9855,21,0.418063,67.7044
9369,32,1.36752,19.8439
9965,7,0.610983,116.01
10057,0,0,0
4796,159,1.97981,115.241
10040,9,0.401966,111.107
10101,2,1.13576,35.8375
5005,148,2.08634,104.631
10129,1,1.90613,33.975
10039,21,0.465531,46.8814
9822,20,1.16035,87.3667
9974,12,1.30713,75.4678
10285,0,0,0
9714,18,1.90246,116.553
10416,0,0,0
10249,11,0.83976,63.7769
9935,9,3.21517,379.28
7971,103,1.54883,933.652
10490,9,0.591753,50.8343
10440,12,0.642633,20.4546
10313,36,0.402366,138.72
10223,30,0.699412,25.8155
10089,20,1.44948,20.6364
10032,47,0.669203,131.027
8700,313,0.397034,81.1284
10723,0,0,0
10564,5,1.90867,34.7752
10264,47,0.525057,365.189
10649,20,0.30797,68.7216
10678,13,0.395219,39.2339
10810,0,0,0
10674,27,0.326213,87.8097
10880,0,0,0
10641,23,0.484799,15.9851
10816,9,0.386297,43.22
10194,63,0.566248,2.95124
10923,0,0,0
10839,18,0.254008,11.5457
10844,9,0.575765,36.2244
10927,2,0.877749,51.2165
10968,0,0,0
10868,21,0.257058,27.8775
10986,0,0,0
7575,59,3.56386,375.617
10939,8,0.814588,10.4229
11013,7,0.344869,33.8873
10629,8,2.86947,139.696
10974,11,0.737854,48.7716
10998,6,1.31216,4.54733
9977,19,3.21929,27.9702
11158,3,0.244801,11.6437
4723,135,2.78293,171.489
11022,39,0.305028,112.186
9944,56,1.20732,53.1528
11282,2,3.03396,4.521
10369,73,0.697803,77.5301
11070,11,1.54568,29.6487
10945,34,0.961246,69.2682
11109,60,0.467516,29.2314
9543,48,2.4662,100.568
11365,17,1.26849,17.7787
11010,22,1.98499,27.2341
11647,22,0.388935,36.5385
11131,58,0.722063,33.7129
11808,0,0,0
11279,15,2.54835,15.8241
11459,56,0.491981,46.557
11222,31,1.36423,17.2388
10168,175,0.549998,105.869
10773,92,0.747523,77.254
11415,38,0.929856,34.2712
11944,0,0,0
11862,37,0.194736,74.2121
12012,1,0.13531,4.24
12017,0,0,0
11625,23,1.2452,35.6699
11721,15,1.50245,110.184
12050,5,0.500225,50.204
11936,23,0.39002,10.3231
12153,0,0,0
12151,2,0.331236,4.7085
4907,182,2.37194,159.217
10747,32,2.84719,221.958
11934,61,0.356556,41.5564
11458,80,0.702926,33.1506
12376,0,0,0
11465,38,1.4838,61.1319
12024,36,0.556394,33.9592
12109,29,0.592469,28.4763
12421,0,0,0
11128,52,1.5457,28.7572
12009,39,0.653751,51.6491
12473,0,0,0
12480,0,0,0
11985,20,1.61904,48.8049
11758,55,0.884393,47.6243
12400,6,1.83788,22.2608
12324,12,1.31879,23.5877
12166,29,0.842769,34.6057
12449,17,0.430282,23.8026
12016,25,1.46859,31.162
12606,0,0,0
12623,0,0,0
12636,0,0,0
12297,14,2.05145,8.03793
12460,16,1.11521,177.33
12554,16,0.957992,32.3034
12600,11,1.16278,31.9685
11898,44,1.37107,37.1358
12535,41,0.543837,35.1649
12731,11,0.657788,67.5717
12889,0,0,0
12710,16,0.590714,24.9805
12813,29,0.431255,94.7279
12575,51,0.618791,80.1983
12700,30,0.776988,54.1517
11954,92,0.786504,28.5549
12563,18,1.97741,43.3441
12651,17,1.78453,22.9102
12909,7,2.27782,50.9411
13171,0,0,0
12232,38,1.79716,117.318
12908,30,0.766423,42.9565
12897,30,0.814659,158.751
13135,9,1.20538,67.9568
12840,26,1.11404,93.1699
13393,0,0,0
13200,7,1.46219,34.8991
12649,48,0.93584,316.402
13370,8,0.560516,39.5553
13073,29,0.838224,87.2829
13420,3,1.87362,61.849
13339,8,1.25852,55.3736
13222,47,0.381947,30.1577
13561,4,0.440336,30.5235
13209,63,0.322993,65.93
13609,0,0,0
13443,8,1.33199,36.0312
13634,1,0.96809,57.715
13622,4,1.3621,27.8233
13323,30,0.710728,101.411
13597,8,1.11697,82.8785
11315,77,1.97267,67.7098
13654,6,1.31041,28.1478
13308,24,1.11762,115.884
13540,10,1.58908,102.915
13195,38,0.995068,94.5175
13834,3,1.06213,9.754
13715,24,0.599574,61.5481
13786,15,0.694292,18.0761
12939,80,0.759356,83.1378
13575,34,0.757248,53.2811
13736,21,0.748467,54.2848
13998,0,0,0
12489,66,1.46037,87.1743
14054,0,0,0
13807,38,0.500558,45.1015
13156,49,1.25295,126.474
14110,8,0.25744,31.4444
13682,40,0.82167,34.0647
14103,1,4.79115,484.524
14185,0,0,0
13845,11,2.32081,29.5335
13986,15,1.21389,43.0963
13888,24,1.16343,61.5481
12599,24,4.57353,93.2132
13962,18,1.58928,19.7709
14207,13,0.77411,108.58
14314,12,0.331318,21.6524
14382,0,0,0
12569,88,1.31186,74.6079
14344,1,2.65565,64.52
14421,0,0,0
14423,0,0,0
14444,0,0,0
14236,16,0.829825,28.3312
14451,0,0,0
14064,45,0.589913,6.89731
14583,0,0,0
14477,9,1.07743,11.4663
13546,23,3.29584,62.018
12507,171,0.834408,69.8686
14703,10,0.416087,10.6977
14465,96,0.241739,54.7605
14819,9,0.745272,31.191
14200,40,1.15077,91.9427
11241,90,2.62739,26.1244
14033,45,1.39113,84.1374
13799,33,2.40225,20.7198
14984,6,0.163992,95.552
14074,52,1.25505,102.578
14776,34,0.7395,26.2865
15047,15,0.489804,85.589
15145,1,0.31847,30.453
15155,0,0,0
15035,8,1.19374,10.7576
15173,0,0,0
14941,21,0.807654,38.8887
13963,20,4.25559,51.3107
15217,12,0.149705,139.419
15202,12,0.268111,9.64075
15296,6,0.525314,40.1093
15183,12,0.919728,45.444
15312,10,0.3251,72.4918
14935,27,1.29716,78.0286
15029,44,0.682917,47.8672
15375,12,0.534371,9.64075
15472,0,0,0
14175,76,1.12289,36.3623
14460,47,1.41368,29.5263
15335,15,0.80816,37.5917
15511,0,0,0
15508,1,0.516641,11.853
14463,41,1.70363,38.6843
15529,0,0,0
15535,0,0,0
15543,0,0,0
15259,26,0.93086,42.6648
15614,0,0,0
14814,46,1.25777,71.2779
15613,4,0.501449,9.7755
15519,10,0.901112,8.8105
15668,0,0,0
15558,10,0.620314,134.101
15679,0,0,0
15696,0,0,0
15703,0,0,0
15755,0,0,0
15750,1,0.566427,0.846
15796,0,0,0
14216,78,1.33519,128.168
15787,2,0.33071,22.367
15650,7,1.39052,139.963
15805,0,0,0
15736,6,1.22864,64.3073
15836,2,0.402319,5.5205
15601,30,0.532111,56.9412
15855,0,0,0
15876,0,0,0
15903,0,0,0
15741,8,1.48638,50.1081
15556,64,0.39405,19.61
14487,57,1.69561,25.7322
15931,2,1.11523,41.1385
15966,0,0,0
14210,74,1.57997,36.1351
15300,18,2.69185,36.805
15581,24,1.15564,72.011
15861,5,3.28414,28.6948
15930,3,3.93081,11.266
15999,11,0.468156,26.4282
15414,90,0.557126,15.4475
16049,3,1.37774,225.615
16114,0,0,0
16165,0,0,0
16207,0,0,0
16216,0,0,0
15919,16,1.62493,37.5398
15889,35,0.867859,19.1183
15944,20,1.4474,72.8896
16040,25,0.848232,90.5102
15005,84,1.15772,104.061
16079,21,0.962996,25.2062
16347,3,0.383713,21.993
16008,37,0.832511,71.0401
16304,10,1.00646,18.8265
16355,7,0.974976,19.5326
16268,19,0.788904,27.0453
16023,36,0.980811,113.654
15971,76,0.543897,152.022
15926,13,3.74315,51.0178
16383,11,1.50211,66.108
16465,11,1.18586,35.1895
14771,66,2.08709,31.1013
16407,25,0.921828,90.5102
16568,10,1.23065,27.7307
16498,29,0.787435,54.3309
14234,74,2.42331,46.5816
16780,0,0,0
16812,0,0,0
16650,18,0.922146,224.047
16328,19,2.16725,256.866
15708,26,3.41212,187.063
16872,0,0,0
16748,8,2.08803,62.7751
16798,15,1.29266,63.6108
16903,7,2.07955,66.4164
16888,13,1.30152,85.8569
16251,44,1.55721,118.778
16829,49,0.577434,118.628
17219,0,0,0
14485,86,2.33875,57.3327
17247,0,0,0
17114,24,0.495871,41.0562
14648,76,2.59874,351.666
17349,0,0,0
17391,2,1.34108,5.647
16745,27,2.04306,39.6881
17139,44,0.491416,24.7587
16919,29,1.43023,49.7387
17453,0,0,0
17452,4,0.207745,6.0245
17271,40,0.440167,5.753
17521,0,0,0
17577,0,0,0
16677,15,5.21145,63.9731
17528,16,0.658525,57.5175
17303,21,1.57884,76.7279
16997,41,1.47975,112.844
17646,36,0.340623,37.7706
17130,32,1.65936,23.1647
16398,97,1.19226,69.4365
17905,12,0.267586,5.29925
17898,1,3.92448,39.385
17981,0,0,0
17976,6,0.33799,23.7095
17504,52,0.72361,29.2564
17605,29,1.10496,379.164
18053,14,0.508261,21.5845
17725,80,0.428884,53.889
18040,22,0.505817,12.1949
18041,20,0.591711,69.0916
17719,7,5.58722,70.3834
17711,34,1.34232,385.727
18239,16,0.513603,21.2434
16612,57,2.37283,118.793
16777,33,3.67756,167.733
18448,2,0.325723,23.3295
18276,39,0.497192,168.521
17794,40,1.46233,31.6517
18620,2,0.481976,9.601
18414,8,2.19302,66.261
18013,34,1.3124,29.915
16567,155,1.03683,92.4075
16122,228,0.84285,197.455
18705,0,0,0
18728,0,0,0
18739,0,0,0
18727,6,0.313273,11.1333
18838,2,0.275886,447.455
18744,19,0.287401,43.3184
18799,10,0.3258,57.6981
18873,0,0,0
18706,24,0.385262,45.0139
16241,48,4.12188,272.182
18904,9,0.345229,29.7127
18884,9,0.684222,44.7724
18530,16,2.23142,23.2854
18755,10,1.89009,68.6219
18236,93,0.623352,120.64
19069,0,0,0
18786,17,1.24332,98.0132
19073,3,0.573953,12.298
18946,11,1.08479,12.0296
18419,63,0.788846,231.606
19113,1,1.23792,9.124
18900,18,1.14256,34.2783
18983,28,0.617091,26.1326
19032,2,7.88872,446.276
19142,14,0.606834,13.0231
19250,1,1.37099,71.86
19187,3,1.54215,85.485
19181,4,1.38728,71.9253
19229,9,0.616517,35.766
19277,4,0.318206,71.9253
19337,1,0.981892,10.232
16832,92,2.06008,120.975
19117,32,0.781065,29.9319
19283,13,1.11957,20.3866
19468,0,0,0
19131,20,1.47397,5.4726
19538,0,0,0
18988,53,0.918556,89.9352
19680,0,0,0
19536,37,0.425234,62.1236
19323,54,0.664757,32.7818
19739,4,3.38076,208.138
19646,28,0.699166,57.3707
18330,192,0.633475,91.7465
19489,23,1.53,67.164
19803,42,0.340693,100.479
20090,0,0,0
19744,10,3.17934,79.8871
17904,97,1.78024,169.198
19810,27,1.49715,170.588
20238,13,0.965011,39.1525
20384,0,0,0
20029,18,1.97003,13.3589
19535,35,2.01352,31.8359
16440,146,2.12936,316.344
16652,140,2.10657,326.281
19433,46,1.83545,229.5
19119,117,0.963676,5.36531
19428,46,1.96173,21.0763
19993,30,1.75685,327.841
20542,3,1.18301,38.5273
20573,3,1.35736,51.8127
20628,0,0,0
20472,19,0.76928,16.6198
20630,4,1.01743,275.022
20421,46,0.558648,27.218
20764,4,0.337137,5.86625
20715,16,0.868831,55.0494
20610,20,1.21711,196.285
20911,1,1.40493,10.901
20759,12,1.6112,115.902
20994,4,1.40133,23.6872
17439,184,1.55955,107.975
21001,6,1.29155,32.3658
21064,2,0.296552,16.8765
19540,170,0.775103,137.29
21121,0,0,0
20055,33,3.07222,50.3066
21100,6,0.731369,43.364
21083,11,0.58328,7.00036
21166,0,0,0
21142,2,2.11768,7.1925
20521,38,1.79783,225.159
20564,34,1.94971,225.364
21243,1,0.311104,4.537
21123,16,0.882361,22.1151
21296,0,0,0
21155,35,0.439507,23.2313
20537,42,1.82562,74.0777
21337,0,0,0
21274,3,3.56591,7.004
20649,41,1.77401,223.208
21088,40,0.727359,30.6382
21401,0,0,0
20571,35,2.34117,86.8553
21415,0,0,0
20216,69,1.6663,98.9217
21422,0,0,0
20668,27,2.91532,130.338
21359,1,10.6426,0
21362,5,2.62927,5.083
21364,20,0.676151,41.3749
21449,1,3.67559,54.412
21507,0,0,0
21470,14,0.428411,21.5016
21421,19,0.872746,15.1518
21191,33,1.41117,48.305
21410,12,2.1793,264.904
21683,0,0,0
21708,0,0,0
21182,72,0.725838,488.176
20039,70,2.3505,117.24
21766,0,0,0
21779,5,0.99671,74.7056
