id,numcrawled,avgCrawlingTime,avgPageSize
6995,31,1.70328,40.5933
7281,111,0.416759,90.9064
8154,0,0,0
8164,0,0,0
7674,58,0.507183,70.3694
8202,0,0,0
6739,23,3.48082,41.7487
4066,347,0.605481,287.831
5156,85,1.94897,89.9264
7107,86,0.84284,78.3379
7696,17,2.76322,22.3898
8452,0,0,0
8482,0,0,0
8108,43,0.626805,85.9585
8222,21,0.893101,31.9979
8573,0,0,0
7606,38,1.52712,265.874
8543,1,0.404787,1.277
8251,30,0.66903,77.7424
8424,24,0.342776,200.564
8205,47,0.538507,93.8354
8674,0,0,0
8701,0,0,0
8634,8,0.531845,45.1176
8384,45,0.329013,54.0974
8502,52,0.174096,92.5628
8763,0,0,0
8771,0,0,0
8473,20,0.63613,89.726
8726,22,0.189265,30.9469
8088,12,3.43353,95.3893
8821,0,0,0
8825,0,0,0
8859,0,0,0
8867,0,0,0
8832,6,0.943923,29.3417
8827,15,0.462027,37.3061
8788,2,5.13469,129.834
8887,6,0.308098,98.2462
8411,55,0.489092,98.632
8913,0,0,0
8914,0,0,0
8915,0,0,0
8026,21,2.7478,95.7716
8917,1,1.67276,68.074
8599,8,1.99791,23.6941
8937,0,0,0
8942,0,0,0
8951,0,0,0
8953,0,0,0
8956,0,0,0
8969,0,0,0
8983,0,0,0
7409,80,1.24988,64.8835
9020,0,0,0
9034,0,0,0
9013,9,0.257925,16.919
8716,32,0.98499,25.6052
8972,4,1.88884,15.3797
9089,0,0,0
7308,93,1.18189,81.4251
9107,1,0.967039,51.464
9132,1,2.6669,66.367
9233,0,0,0
9188,7,0.435111,12.816
9152,17,0.826511,41.7026
8929,38,0.853117,26.5211
9430,0,0,0
9125,29,0.706666,38.2721
9489,0,0,0
9495,5,0.32325,20.9062
9522,0,0,0
9555,1,1.36513,9.005
7490,68,1.98655,210.546
9671,0,0,0
9686,0,0,0
5427,325,0.740025,19.5805
9561,9,1.31332,62.3569
9743,0,0,0
4311,120,2.43654,61.0722
7829,18,7.16322,131.496
9775,0,0,0
8808,85,0.864777,114.742
9794,0,0,0
9636,9,1.32583,62.356
9804,0,0,0
9823,0,0,0
8958,53,1.11847,32.5599
9836,0,0,0
9009,51,1.13752,28.6111
9857,6,0.707312,37.7068
9799,13,0.746821,130.257
9925,0,0,0
9926,1,0.137593,5.412
9935,0,0,0
9953,0,0,0
9972,0,0,0
8961,40,1.77924,88.9769
9993,0,0,0
10007,0,0,0
9954,8,0.543191,22.2263
9990,1,2.09351,4.129
10019,3,0.288863,21.1957
10037,0,0,0
9271,26,2.11862,85.7409
10049,0,0,0
8999,28,2.67047,84.524
10101,0,0,0
10109,0,0,0
9148,27,2.48916,32.1519
10132,8,0.150931,20.6275
10196,0,0,0
10204,0,0,0
10189,10,0.333759,58.2509
10324,0,0,0
9829,13,2.40428,93.6886
10460,0,0,0
10087,30,0.602271,27.8106
10513,0,0,0
10639,0,0,0
10078,43,0.57614,71.968
10052,52,0.580284,26.1908
10279,33,0.711211,21.8291
10857,0,0,0
10234,49,0.653982,74.6619
10887,7,0.987179,9.47214
10811,16,0.853009,37.3339
11131,0,0,0
10606,18,1.44313,21.7364
10229,96,0.524716,76.3836
11209,5,1.21361,24.5226
10020,167,0.399463,32.6999
11356,5,1.02994,15.524
11350,34,0.180238,17.2714
11512,0,0,0
11652,0,0,0
10421,75,0.897094,44.0177
11084,36,1.2366,22.8962
9874,147,0.737359,45.7247
11177,34,1.26374,31.9172
11880,7,1.61639,31.8414
7452,193,1.45839,193.332
11694,25,1.24628,10.6006
10686,117,0.782469,95.9265
12080,7,1.57946,8.94643
11850,22,1.44951,18.5918
11943,20,1.33889,12.2843
9986,59,2.25969,185.78
12163,25,0.590416,10.6006
11739,42,1.14674,18.4667
10430,66,1.81199,104.043
